Building_Name_English,Building_Name_Traditional_Chinese,Address_English,Address_Traditional_Chinese,COCR_No,BEC_Edition,Issue_Date,Expiry_Date,Remark,Easting,Latitude,Longitude,Northing
"Carpark, 1 & 3 Ede Road","停車場, 1 & 3 Ede Road","No. 1 & No. 3 Ede Road, Kowloon Tong, Kowloon","九龍九龍塘義德道1號及3號","34-00260","2012",2014-11-25,2024-11-24,"","836375","22.34075","114.17792","822408"
"Tower 1, 1 & 3 Ede Road","第一座, 1 & 3 Ede Road","No. 1 & No. 3 Ede Road, Kowloon Tong, Kowloon","九龍九龍塘義德道1號及3號","34-06924","2012",2014-11-25,2024-11-24,"","836375","22.34075","114.17792","822408"
"Tower 2, 1 & 3 Ede Road","第二座, 1 & 3 Ede Road","No. 1 & No. 3 Ede Road, Kowloon Tong, Kowloon","九龍九龍塘義德道1號及3號","34-06925","2012",2014-11-25,2024-11-24,"","836375","22.34075","114.17792","822408"
"CTS Court","中旅閣","363 Portland Street, Mongkok, Kowloon","九龍旺角砵蘭街363號","34-01315","2012",2014-12-19,2024-12-18,"","835320","22.32349","114.16767","820497"
"Tin Yip Road Artificial Sand Court","天業路人造沙灘球場","Tin Yip Road, Tin Shui Wai, N.T.","新界天水圍天業路","34-01387","2012",2015-01-06,2025-01-05,"","818652","22.46552","114.00572","836235"
"Shamshuipo Baptist Church","深水埗浸信會","No. 4 Kwong Lee Road, Sham Shui Po, Kowloon","九龍深水埗廣利道4號","34-01238","2012",2015-01-09,2025-01-08,"","834424","22.34031","114.15898","822360"
"Somerset Victoria Park Hong Kong","香港盛捷維園公寓酒店","118-120 Electric Road, North Point, Hong Kong","香港北角電器道118-120號","34-00238","2012",2015-01-13,2025-01-12,"","833448","22.28729","114.14951","816488"
"Kung Um Road, Lung Tin Tsuen, Yuen Long, N.T. - Site C (Commercial Building)","新界元朗龍田村公庵路 - C區 (商業建築物)","Kung Um Road, Lung Tin Tsuen Lot No. 4043 S.A. & RP in DD120, Yuen Long, N.T.","新界元朗龍田村公庵路編號4043 S.A. 及 RP in DD120地段","34-01709","2012",2015-01-21,2025-01-20,"","834443","22.45235","114.15914","834766"
"Wu Jieh Yee Building, Wah Yan College Hong Kong","香港華仁書院伍潔宜大樓","281 Queen's Road East, Wan Chai, Hong Kong","香港灣仔皇后大道東281號","34-01375","2012",2015-01-21,2025-01-20,"","836205","22.27403","114.17626","815020"
"KP Tower","錦平中心","93 King's Road, North Point, Hong Kong","香港北角英皇道93號","34-01587","2012",2015-01-22,2025-01-21,"","837898","22.28667","114.19269","816420"
"8 La Salle","傲名","8 La Salle Road, Ho Man Tin, Kowloon","九龍何文田喇沙利道8號","34-01435","2012",2015-01-29,2025-01-28,"","836818","22.32672","114.18221","820854"
"TST Tower","肇如大廈","386-406 Un Chau Street, Cheung Sha Wan, Kowloon","九龍長沙灣元洲街386-406號","34-01875","2012",2015-02-10,2025-02-09,"","834072","22.33849","114.15556","822159"
"No. 41-43 Pilkem Street","庇利金街41-43號","41-43 Pilkem Street, Jordan, Kowloon","九龍佐敦庇利金街41-43號","34-06058","2012",2015-02-16,2025-02-15,"","835661","22.30443","114.17098","818386"
"Po Leung Kuk Law's Foundation School","保良局羅氏信託學校","26 Town Park Road South, Yuen Long, N.T.","新界元朗公園南路26號","34-06396","2012",2015-02-27,2025-02-26,"","819915","22.44087","114.01802","833504"
"18 Catchick Street (Non-residential Portion Only)","吉席街十八號(非住宅部分)","18 Catchick Street, Hong Kong","香港吉席街18號","34-01281","2012",2015-03-06,2025-03-05,"","826087","22.44264","114.07797","833695"
"The Salvation Army Shek Wu School (Extension)","救世軍石湖學校(擴建部份)","89 Jockey Club Road, Sheung Shui, N.T.","新界上水馬會道89號","34-06888","2012",2015-03-13,2025-03-12,"","831727","22.50277","114.13275","840350"
"Integrated Waste Solutions Building","綜合環保大樓","8 Chun Cheong Street, Tseung Kwan O Industrial Estate, N.T.","新界將軍澳工業邨駿昌街8號","34-05869","2012",2015-03-25,2025-03-24,"","845989","22.28933","114.2712","816717"
"Cruise Hotel","郵輪酒店","180-188 Pau Chung Street, Ma Tau Wai, Kowloon","九龍馬頭圍炮仗街180-188號","34-00203","2012",2015-03-27,2025-03-26,"","839899","22.30744","114.21212","818721"
"Community Health & Wellness Centre (Block C)","社區健康中心(C座)","7-11 Yan Chai Street, Tsuen Wan, N.T.","新界荃灣仁濟街7-11號","34-01350","2012",2015-04-14,2025-04-13,"","818652","22.46552","114.00572","836235"
"Hong Kong Jockey Club - Shatin Communication and Technology Centre (SCTC)","沙田通訊及科技中心","Shatin Racecourse, Shatin, N.T.","新界沙田沙田馬場","34-01686","2012",2015-04-14,2025-04-13,"","838806","22.39689","114.20152","828625"
"Temporary Building C in Tseung Kwan O Hospital","將軍澳醫院臨時建築物C座","2 Po Ning Lane, Tseung Kwan O, N.T.","新界將軍澳寶寧里2號","34-06806","2012",2015-04-15,2025-04-14,"","845878","22.31813","114.27015","819907"
"Billionnaire Avant","御門前","56-66 Nga Tsin Long Road, Kowloon City, Kowloon","九龍九龍城衙前塱道56-66號","34-01380","2012",2015-04-22,2025-04-21,"","837569","22.32994","114.1895","821211"
"Inn Hotel. Hong Kong","Inn Hotel. Hong Kong","60 Portland Street, Mongkok, Kowloon","九龍旺角砵蘭街60號","34-01482","2012",2015-04-24,2025-04-23,"","836166","22.24795","114.17588","812132"
"Southland Building","南源商業大廈","48 Connaught Road Central, Central, Hong Kong","香港中環干諾道中48號","34-01574","2012",2015-04-28,2025-04-27,"","834880","22.32685","114.1634","820869"
"The Austine Place","The Austine Place","38 Kwun Chung Street, Jordan, Kowloon","九龍佐敦官涌街38號","34-01273","2012",2015-04-29,2025-04-28,"","835434","22.30399","114.16878","818337"
"The Galaxy","天際中心","313-317 Castle Peak Road, Kwai Chung, N.T.","新界葵涌青山道313-317號","34-01785","2012",2015-05-19,2025-05-18,"","831964","22.36047","114.13509","824593"
"New Extension of Hong Chi Association Training Centre (The Jockey Club Hong Chi Lodge)","匡智會訓練中心(賽馬會匡智居)新增建部分","Pinehill Village, Chung Nga Road, Nam Hang, Tai Po, N.T.","新界大埔南坑頌雅路松嶺村","34-07166","2012 (Rev.1)",2015-05-27,2025-05-26,"","836282","22.27615","114.17701","815254"
"High Place","曉薈","79-81 Sa Po Road & 33-37 Carpenter Road, Kowloon City, Kowloon","九龍九龍城沙浦道79-81號及賈炳達道33-37號","34-01770","2012",2015-06-05,2025-06-04,"","837886","22.33032","114.19258","821253"
"The Met. Sublime","薈臻","1 Kwai Heung Street, Sai Ying Pun, Hong Kong","香港西營盤桂香街1號","34-01639","2012",2015-06-08,2025-06-07,"","832785","22.28728","114.14307","816487"
"T G PLACE","電訊一代廣場","10 Shing Yip Street, Kwun Tong, Kowloon","九龍觀塘成業街10號","34-01920","2012",2015-06-10,2025-06-09,"","841317","22.31035","114.22588","819043"
"Sevilla Crest","晉嶺","No. 287-293 Sai Yeung Choi Street North, Mongkok, Kowloon","九龍旺角西洋菜北街287-293號","34-01592","2012",2015-06-25,2025-06-24,"","835203","22.33023","114.16654","821244"
"COS Centre (exclude shop and office area)","中海日升中心(不包括商鋪及辦公室部分)","56 Tsun Yip Street, Kwun Tong, Kowloon","九龍觀塘駿業街56號","34-01921","2012",2015-06-26,2025-06-25,"","840994","22.31109","114.22274","819125"
"Temporary Building A in United Christian Hospital","基督教聯合醫院臨時建築物A座","130 Hip Wo Street, Kwun Tong, Kowloon","九龍觀塘協和街130號","34-06421","2012",2015-07-07,2025-07-06,"","841549","22.32291","114.22813","820433"
"Taikoo Place Apartments","太古坊栢舍","23 Tong Chong Street, Quarry Bay, Hong Kong","香港鰂魚涌糖廠街23號","34-01416","2012",2015-07-10,2025-07-09,"","839964","22.28755","114.21274","816518"
"Montery Plaza","萬泰利廣場","15 Chong Yip Street, Kwun Tong, Kowloon","九龍觀塘創業街15號","34-02651","2012",2015-07-10,2025-07-09,"","840712","22.31377","114.22001","819421"
"The Wellington","The Wellington","184-198 Wellington Street, Sheung Wan, Hong Kong","香港上環威靈頓街184-198號","34-02652","2012",2015-07-15,2025-07-14,"","833807","22.28478","114.15299","816211"
"Hong Kong Victoria Resort","香港維多利亞山莊","22 Chi Ma Wan Road, Pui O, Lantau Island, N.T.","新界大嶼山貝澳芝麻灣道22號","34-01813","2012",2015-08-07,2025-08-06,"","815783","22.24103","113.97816","811379"
"Metro 6","城中匯","121 Bulkeley Street, Hung Hom, Kowloon","九龍紅磡寶其利街121號","34-01620","2012",2015-08-07,2025-08-06,"","837099","22.30747","114.18494","818723"
"The Met. Delight","薈悅","25A Shun Ning Road, Sham Shui Po, Kowloon","九龍深水埗順寧道25A號","34-06185","2012",2015-08-13,2025-08-12,"","834654","22.33521","114.16121","821795"
"Yuk Yin School (Extension)","育賢學校(擴建部分)","Jockey Club Road, Sheung Shui, N.T.","新界上水馬會道","34-06031","2012",2015-08-14,2025-08-13,"","837981","22.3796","114.19351","826710"
"Sheung Shui Ambulance Depot","上水救護站","1 Choi Shun Street, Sheung Shui, N.T.","新界上水彩順街1號","34-01383","2012",2015-08-14,2025-08-13,"","831533","22.50752","114.13085","840876"
"Grand City Hotel","華麗都會酒店","338 Queen's Road West, Western, Hong Kong","香港西區皇后大道西338號","34-01513","2012",2015-08-17,2025-08-16,"","832587","22.28682","114.14115","816436"
"Sha Tin Area 52 (Shui Chuen O) Phase 1 - Circulation Hub","沙田第五十二區(水泉澳)第一期 - 樞紐通道","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-06034","2012",2015-08-21,2025-08-20,"","809357","22.29681","113.91572","817566"
"Sha Tin Area 52 (Shui Chuen O) Phase 1 - Carport","沙田第五十二區(水泉澳)第一期 - 停車場","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-02771","2012",2015-08-21,2025-08-20,"","815294","22.38641","113.9732","827478"
"DIVA","DIVA","133, 135, 137 & 139 Electric Road & 1A Gordon Road, North Point, Hong Kong","香港北角電氣道133, 135, 137 及139 號及歌頓道1A號","34-01833","2012",2015-08-27,2025-08-26,"","837750","22.2861","114.19125","816356"
"The Octagon","嘉達環球中心","6 Sha Tsui Road, Tsuen Wan, N.T.","新界荃灣沙咀道6號","34-01324","2012",2015-08-28,2025-08-27,"","829088","22.37505","114.10716","826208"
"Police Sports and Recreation Club","警察體育遊樂會","430 Sai Yeung Choi Street North, Mong Kok, Kowloon","九龍旺角西洋菜南街北430號","34-06190","2012",2015-09-02,2025-09-01,"","835456","22.32787","114.16899","820982"
"Whitesands (Clubhouse)","Whitesands(會所)","160 South Lantau Road, Lantau Island, N.T.","新界大嶼山嶼南道160號","34-05949","2012",2015-09-07,2025-09-06,"","834785","22.27849","114.16248","815514"
"Complex Block, Tai Lam Centre for Women, Correctional Services Department","懲教署大欖女懲教所綜合大樓","110 Tai Lam Chung Road, Tuen Mun, N.T.","新界屯門大欖涌道110號","34-02766","2012",2015-09-14,2025-09-13,"","820640","22.37267","114.02513","825951"
"Conference Lodge","Conference Lodge","Clear Water Bay, Sai Kung, N.T.","新界西貢清水灣","34-05954","2012",2015-09-18,2025-09-17,"","837144","22.27208","114.18537","814804"
"Kwong Wah Building","廣華樓","147A Argyle Street, Ho Man Tin, Kowloon","九龍何文田亞皆老街147A號","34-06667","2012",2015-09-18,2025-09-17,"","835946","22.31696","114.17375","819774"
"Hong Kong Golf and Tennis Academy (Block 1)","Hong Kong Golf and Tennis Academy (Block 1)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15871","2012",2015-09-25,2025-09-24,"","844464","22.37571","114.25645","826282"
"Hong Kong Golf and Tennis Academy (Block 2)","Hong Kong Golf and Tennis Academy (Block 2)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15872","2012",2015-09-25,2025-09-24,"","844539","22.37612","114.25718","826327"
"Hong Kong Golf and Tennis Academy (Block 3)","Hong Kong Golf and Tennis Academy (Block 3)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15873","2012",2015-09-25,2025-09-24,"","844502","22.37668","114.25683","826389"
"Hong Kong Golf and Tennis Academy (Block 4)","Hong Kong Golf and Tennis Academy (Block 4)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15874","2012",2015-09-25,2025-09-24,"","844373","22.37652","114.25557","826371"
"Hong Kong Golf and Tennis Academy (Block 6)","Hong Kong Golf and Tennis Academy (Block 6)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15876","2012",2015-09-25,2025-09-24,"","844370","22.37697","114.25555","826421"
"Hong Kong Golf and Tennis Academy (Driving Range)","Hong Kong Golf and Tennis Academy (Driving Range)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15877","2012",2015-09-25,2025-09-24,"","844464","22.37571","114.25645","826282"
"82 Chung On Street, Tsuen Wan","荃灣眾安街82號","80-82 Chung On Street, Tsuen Wan, N.T.","新界荃灣眾安街80-82號","34-01525","2012",2015-09-25,2025-09-24,"","830111","22.36993","114.1171","825641"
"Hong Kong Golf and Tennis Academy (Block 5)","Hong Kong Golf and Tennis Academy (Block 5)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-15875","2012",2015-10-06,2025-10-05,"","844359","22.37647","114.25543","826366"
"Hong Kong Golf and Tennis Academy (Sports Complex)","Hong Kong Golf and Tennis Academy (Sports Complex)","Pak Kong, Sai Kung, N.T.","新界西貢北港","34-01971","2012",2015-10-14,2025-10-13,"","844464","22.37571","114.25645","826282"
"Stone Houses Family Garden (Annex Block)","石屋家園(附屬大樓)","133 Junction Road, Kowloon","九龍聯合道133號","34-05943","2012",2015-10-20,2025-10-19,"","831607","22.26976","114.13165","814548"
"Maxim's Centre","美心集團中心","17 Cheung Shun Street, Lai Chi Kok, Kowloon","九龍荔枝角長順街17號","34-05964","2012",2015-11-06,2025-11-05,"","833206","22.33602","114.14715","821885"
"Eight Kwai Fong","Eight Kwai Fong","8 Kwai Fong Street, Happy Valley, Hong Kong","香港跑馬地桂芳街8號","34-02772","2012",2015-11-13,2025-11-12,"","837329","22.26667","114.18716","814205"
"Hung Yat House (Block 6), Hung Fuk Estate","洪褔邨 洪溢樓(第六座)","1 Hung Yuen Road, Phase 3, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第三期洪元路1號","34-01430","2012",2015-11-18,2025-11-17,"","817846","22.43838","113.99792","833230"
"Hung Yuet House (Block 7), Hung Fuk Estate","洪褔邨 洪悅樓(第七座)","1 Hung Yuen Road, Phase 3, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第三期洪元路1號","34-01431","2012",2015-11-18,2025-11-17,"","817817","22.43875","113.99763","833271"
"Hung Cheong House (Block 8), Hung Fuk Estate","洪褔邨 洪昌樓(第八座)","1 Hung Yuen Road, Phase 3, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第三期洪元路1號","34-01432","2012",2015-11-18,2025-11-17,"","817736","22.43853","113.99685","833247"
"Hung Shing House (Block 9), Hung Fuk Estate","洪褔邨 洪盛樓(第九座)","1 Hung Yuen Road, Phase 3, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第三期洪元路1號","34-01433","2012",2015-11-18,2025-11-17,"","817744","22.43792","113.99693","833180"
"Hung Long House (Block 5), Hung Fuk Estate","洪褔邨 洪塱樓(第五座)","1 Hung Yuen Road, Phase 3, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第三期洪元路1號","34-01434","2012",2015-11-18,2025-11-17,"","817859","22.4379","113.99805","833177"
"22 Russell Street","羅素街22號","22-24 Russell Street, Causeway Bay, Hong Kong","香港銅鑼灣羅素街22-24號","34-07403","2012 (Rev.1)",2015-11-26,2025-11-25,"","836803","22.27882","114.18206","815550"
"Ching Chung Taoist Association Building","青松觀綜合大樓","Tsing Chung Koon Road, Tuen Mun, N.T.","新界屯門青松觀路","34-05961","2012",2015-11-27,2025-11-26,"","815437","22.40611","113.97457","829660"
"The Jockey Club Kitchee Centre","賽馬會傑志中心","On Muk Street, Shek Mun, Shatin, N.T.","新界沙田石門安睦街","34-07182","2012",2015-11-27,2025-11-26,"","839389","22.38728","114.20718","827561"
"One Bay East (Basement)","One Bay East (Basement)","83 Hoi Bun Road, Kwun Tong, Kowloon","九龍官塘海濱道83號","34-02113","2012",2015-11-27,2025-11-26,"","840182","22.31554","114.21486","819617"
"One Bay East (East Tower)","One Bay East (East Tower)","83 Hoi Bun Road, Kwun Tong, Kowloon","九龍官塘海濱道83號","34-02520","2012",2015-11-27,2025-11-26,"","840182","22.31554","114.21486","819617"
"One Bay East (West Tower)","One Bay East (West Tower)","83 Hoi Bun Road, Kwun Tong, Kowloon","九龍官塘海濱道83號","34-02519","2012",2015-11-27,2025-11-26,"","840182","22.31554","114.21486","819617"
"Ancillary Facilities Block at Ngau Tau Kok Park","牛頭角公園設施大樓","199 Kwun Tong Road, Kwun Tong, Kowloon","九龍觀塘觀塘道199號","34-02671","2012",2015-12-11,2025-12-10,"","839176","22.38045","114.20511","826805"
"HEYA DELIGHT","喜盈","400 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道400號","34-01634","2012",2015-12-14,2025-12-13,"","833981","22.33992","114.15467","822316"
"Hung Foon House (Block 1), Hung Fuk Estate","洪福邨 洪歡樓(第一座)","1 Hung Yuen Road, Phases 1 & 2, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第一及二期洪元路1號","34-01396","2012",2015-12-16,2025-12-15,"","817776","22.43722","113.99724","833102"
"Hung Lok House (Block 4), Hung Fuk Estate","洪福邨 洪樂樓(第四座)","1 Hung Yuen Road, Phases 1 & 2, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第一及二期洪元路1號","34-01400","2012",2015-12-16,2025-12-15,"","817868","22.43727","113.99813","833108"
"L. Harbour 18","利‧港灣18","18 Chi Kiang Street, Ma Tau Kok, Kowloon","九龍馬頭角浙江街18號","34-01376","2012",2015-12-31,2025-12-30,"","837640","22.31476","114.19019","819530"
"8 Observatory Road","天文臺道8號","8 Observatory Road, Tsim Sha Tsui, Kowloon","九龍尖沙咀天文台道8號","34-02872","2012",2016-01-08,2026-01-07,"","836149","22.30118","114.17572","818026"
"Hung Yan House (Block 2), Hung Fuk Estate","洪福邨 洪恩樓(第二座)","1 Hung Yuen Road, Phases 1 & 2, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第一及二期洪元路1號","34-01397","2012",2016-01-12,2026-01-11,"","817947","22.43703","113.9989","833081"
"Hung Hei House (Block 3), Hung Fuk Estate","洪福邨 洪喜樓(第三座)","1 Hung Yuen Road, Phases 1 & 2, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第一及二期洪元路1號","34-01398","2012",2016-01-12,2026-01-11,"","817836","22.43683","113.99783","833058"
"Hung Fuk Shopping Centre","洪福商場","1 Hung Yuen Road, Phases 1 & 2, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第一及二期洪元路1號","34-01401","2012",2016-01-12,2026-01-11,"","817908","22.43666","113.99852","833040"
"Hung Fuk Estate Ancillary Facilities Block","洪褔邨服務設施大樓","1 Hung Yuen Road, Phases 1 & 2, Hung Shui Kiu Area 13, Yuen Long, N.T.","新界元朗洪水橋第13區第一及二期洪元路1號","34-01402","2012",2016-01-12,2026-01-11,"","817947","22.43703","113.9989","833081"
"TRIAZZA","翠雅山","383 Tai Po Road, Sham Shui Po, Kowloon","九龍深水埗大埔道383號","34-01612","2012",2016-01-13,2026-01-12,"","833861","22.34346","114.15351","822709"
"Court A, Dragons Range","玖瓏山 日瓏閣","33 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路33號","34-06236","2012",2016-01-13,2026-01-12,"","838681","22.41332","114.20031","830444"
"Court B, Dragons Range","玖瓏山 月瓏閣","33 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路33號","34-06237","2012",2016-01-13,2026-01-12,"","838609","22.41319","114.19961","830431"
"Court C, Dragons Range","玖瓏山 傲瓏閣","33 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路33號","34-06238","2012",2016-01-13,2026-01-12,"","838569","22.41357","114.19923","830472"
"Court D, Dragons Range","玖瓏山 天瓏閣","33 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路33號","34-06240","2012",2016-01-13,2026-01-12,"","838511","22.41402","114.19866","830522"
"Basement & Lower Ground Floor Carpark, Dragons Range","玖瓏山 地庫及低層地下停車場","33 Lai Ping Road, Sha Tin, N.T.","新界沙田麗坪路33號","34-06858","2012",2016-01-13,2026-01-12,"","830283","22.37261","114.11876","825937"
"Eight South Lane","Eight South Lane","8-12 South Lane, Sai Wan, Hong Kong","香港西環南里8-12號","34-05843","2012",2016-01-14,2026-01-13,"","831906","22.28564","114.13455","816306"
"Cluny Park","Cluny Park","53 Conduit Road, Mid Levels West, Hong Kong","香港西半山區干德道53號","34-01957","2012",2016-01-15,2026-01-14,"","832594","22.28094","114.14123","815786"
"Tuen Fu Road Disciplined Services Quarters","屯富路紀律部隊宿舍","15 Tuen Fu Road, Fu Tei, Tuen Mun, N.T.","新界屯門虎地屯富路15號","34-01314","2012",2016-01-20,2026-01-19,"","815981","22.40909","113.97984","829990"
"Sha Po North Development (Basement)","沙埔北項目(地庫)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-01630","2012",2016-01-21,2026-01-20,"","834443","22.45235","114.15914","834766"
"Sha Po North Development (Tower 1)","沙埔北項目(1座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06268","2012",2016-01-21,2026-01-20,"","835941","22.3687","114.17369","825503"
"Sha Po North Development (Tower 2)","沙埔北項目(2座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06270","2012",2016-01-21,2026-01-20,"","835974","22.36902","114.17402","825539"
"Sha Po North Development (Tower 3)","沙埔北項目(3座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06271","2012",2016-01-21,2026-01-20,"","836315","22.37166","114.17733","825831"
"Sha Po North Development (Tower 5)","沙埔北項目(5座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06272","2012",2016-01-21,2026-01-20,"","836043","22.36967","114.17469","825611"
"Sha Po North Development (Tower 6)","沙埔北項目(6座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06273","2012",2016-01-21,2026-01-20,"","844839","22.32107","114.26007","820232"
"Sha Po North Development (Tower 7)","沙埔北項目(7座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06274","2012",2016-01-21,2026-01-20,"","845001","22.31972","114.26163","820082"
"Sha Po North Development (Tower 9)","沙埔北項目(9座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06275","2012",2016-01-21,2026-01-20,"","838708","22.32918","114.20056","821127"
"Sha Po North Development (Tower 10)","沙埔北項目(10座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06276","2012",2016-01-21,2026-01-20,"","838718","22.32909","114.20065","821117"
"Sha Po North Development (Tower 11)","沙埔北項目(11座)","Sha Po, Kam Tin, Yuen Long, N.T.","新界元朗錦田沙埔","34-06277","2012",2016-01-21,2026-01-20,"","811507","22.2817","113.93661","815890"
